field,coverage_percent
direct_online_entry_visible,12.5
consultation_visible,37.5
effective_period_visible,37.5
update_or_expiry_visible,37.5
cost_visible,50.0
faq_or_example_visible,50.0
result_visible,50.0
steps_visible,50.0
risk_or_ineligible_visible,62.5
cross_service_relation_visible,75.0
eligibility_visible,75.0
identity_branches_visible,75.0
materials_visible,75.0
mobile_channel_visible,75.0
plain_language_summary_visible,75.0
publish_date_visible,75.0
offline_fallback_visible,87.5
time_limit_visible,87.5
audience_visible,100.0
channels_visible,100.0
issuer_visible,100.0
